"","alpha","delta","u","i","redshift","plate","MJD","fiber_ID","cam_col","fieldbin","runbin","class"
"1",-0.284207601200278,0.771014495400397,0.3392,-1.0577,-0.47298,-0.24524,0.16884,0.34013,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"2",0.504776815874828,-0.822901270378996,0.42273,1.18352,0.14725,1.73253,1.60153,0.37683,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"3",-0.11935544865667,0.939483130006969,1.31934,0.0935,-0.14553,0.01862,0.26395,-1.48374,"6","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"4",0.968240642604527,-0.929603371919738,1.45421,0.70612,0.01825,1.73151,1.59157,0.49793,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"5",0.180586410906497,0.700833108400643,-1.24601,-1.41604,-0.65755,-1.30814,-1.4336,-0.9186,"4","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"6",-0.531470332676292,0.988770888700416,0.61613,0.30767,-0.05624,0.57581,0.47186,-0.74245,"1","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"7",0.686705435119323,0.558372641915107,0.33377,0.27899,-0.29427,0.42068,0.41545,1.72729,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"8",-0.829555870834252,-0.925961547944659,0.34196,0.15164,-0.12794,-0.29469,-0.05787,1.88509,"5","(0.58,5.4]","(0.8,1.9]","GALAXY"
"9",-0.0847177800823841,-0.198696697468202,-1.05107,-0.03526,1.22094,-1.42737,-1.76094,-0.08556,"4","(-0.45,-0.06]","(-2.23,-0.831]","QSO"
"10",0.839938421354038,0.998776054711104,1.38237,0.25035,-0.19659,-0.24118,0.15225,1.01903,"1","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"11",0.284893369889678,0.354017738520769,1.63304,0.60044,0.2088,0.91758,0.77155,1.81904,"1","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"12",-0.559749643056918,-0.880718599233095,-0.12874,-0.19052,-0.78915,1.11505,1.27418,-0.13694,"2","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"13",-0.653368949851669,0.913685908462842,-0.89092,-1.07734,-0.78938,-0.66728,-0.42392,0.60068,"2","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"14",-0.822435759290167,-0.469527876535025,-2.29304,-2.51123,-0.78929,-0.95621,-1.03769,0.31077,"6","(-1.18,-0.774]","(0.048,0.8]","STAR"
"15",-0.578654157840688,-0.884295625274909,-1.29726,-0.69646,-0.78828,-0.17072,0.01733,0.9016,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"16",0.618078040003235,-0.744374188725054,0.07171,1.32081,0.55781,0.92943,0.93633,-1.38098,"4","(-0.45,-0.06]","(0.8,1.9]","QSO"
"17",-0.0247440556070003,0.329141325372238,0.24887,1.20593,0.30906,1.79994,1.41131,-0.98098,"1","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"18",0.587765621989218,-0.680364861358874,-1.14853,-0.90386,-0.60946,-0.80243,-0.73191,-0.01951,"2","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"19",0.0911884261777342,0.592443554507464,1.76709,1.06924,0.34533,1.2607,1.03033,-1.62319,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"20",0.801526537066597,-0.996509982756019,1.88538,0.01107,0.02609,0.52195,0.44918,-1.13878,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
