"","u","g","z","redshift","MJD","cam_col","fieldbin","runbin","class"
"1",0.3392,-0.65857,-1.08968,-0.47298,0.16884,"3","(-0.06,0.58]","(0.048,0.8]","GALAXY"
"2",0.42273,0.76431,1.14038,0.14725,1.60153,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"3",1.31934,0.6221,0.04865,-0.14553,0.26395,"6","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"4",1.45421,1.90567,0.43208,0.01825,1.59157,"2","(0.58,5.4]","(0.048,0.8]","GALAXY"
"5",-1.24601,-1.36788,-1.40415,-0.65755,-1.4336,"4","(-0.06,0.58]","(-0.831,-0.327]","GALAXY"
"6",0.61613,0.69091,0.27712,-0.05624,0.47186,"1","(-0.774,-0.45]","(-0.831,-0.327]","GALAXY"
"7",0.33377,0.40118,0.22769,-0.29427,0.41545,"5","(-0.45,-0.06]","(-2.23,-0.831]","GALAXY"
"8",0.34196,0.85059,0.16596,-0.12794,-0.05787,"5","(0.58,5.4]","(0.8,1.9]","GALAXY"
"9",-1.05107,-0.53682,0.17548,1.22094,-1.76094,"4","(-0.45,-0.06]","(-2.23,-0.831]","QSO"
"10",1.38237,0.85708,0.22286,-0.19659,0.15225,"1","(-0.45,-0.06]","(0.048,0.8]","GALAXY"
"11",1.63304,1.64575,0.27233,0.2088,0.77155,"1","(0.58,5.4]","(-0.327,0.048]","GALAXY"
"12",-0.12874,-0.38113,-0.09587,-0.78915,1.27418,"2","(-0.45,-0.06]","(-0.831,-0.327]","STAR"
"13",-0.89092,-1.18613,-0.98543,-0.78938,-0.42392,"2","(-1.18,-0.774]","(-0.831,-0.327]","STAR"
"14",-2.29304,-2.53961,-2.35825,-0.78929,-1.03769,"6","(-1.18,-0.774]","(0.048,0.8]","STAR"
"15",-1.29726,-1.14668,-0.52047,-0.78828,0.01733,"5","(-1.18,-0.774]","(-0.327,0.048]","STAR"
"16",0.07171,0.56533,1.64162,0.55781,0.93633,"4","(-0.45,-0.06]","(0.8,1.9]","QSO"
"17",0.24887,1.14447,0.91135,0.30906,1.41131,"1","(-0.45,-0.06]","(-0.327,0.048]","GALAXY"
"18",-1.14853,-1.10136,-0.85399,-0.60946,-0.73191,"2","(-1.18,-0.774]","(0.048,0.8]","GALAXY"
"19",1.76709,1.6646,0.66001,0.34533,1.03033,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"20",1.88538,0.78989,-0.11024,0.02609,0.44918,"4","(-0.45,-0.06]","(-0.831,-0.327]","GALAXY"
"21",0.29954,0.61157,1.55383,2.32435,0.01899,"3","(-0.45,-0.06]","(-0.327,0.048]","QSO"
"22",-1.00213,-1.34276,-1.59522,-0.55656,-1.98599,"5","(-0.06,0.58]","(-2.23,-0.831]","GALAXY"
