"","redshift","u","g","r","i","z","spec_obj_ID","plate","MJD","class"
"1",-0.47298,0.3392,-0.65857,-0.99856,-1.0577,-1.08968,-0.24523,-0.24524,0.16884,"GALAXY"
"2",0.14725,0.42273,0.76431,1.11896,1.18352,1.14038,1.73253,1.73253,1.60153,"GALAXY"
"3",-0.14553,1.31934,0.6221,0.22063,0.0935,0.04865,0.01859,0.01862,0.26395,"GALAXY"
"4",0.01825,1.45421,1.90567,0.94695,0.70612,0.43208,1.73152,1.73151,1.59157,"GALAXY"
"5",-0.65755,-1.24601,-1.36788,-1.38896,-1.41604,-1.40415,-1.30815,-1.30814,-1.4336,"GALAXY"
"6",-0.05624,0.61613,0.69091,0.46986,0.30767,0.27712,0.57579,0.57581,0.47186,"GALAXY"
"7",-0.29427,0.33377,0.40118,0.24854,0.27899,0.22769,0.42071,0.42068,0.41545,"GALAXY"
"8",-0.12794,0.34196,0.85059,0.34639,0.15164,0.16596,-0.29465,-0.29469,-0.05787,"GALAXY"
"9",1.22094,-1.05107,-0.53682,-0.2264,-0.03526,0.17548,-1.42736,-1.42737,-1.76094,"QSO"
"10",-0.19659,1.38237,0.85708,0.40234,0.25035,0.22286,-0.24115,-0.24118,0.15225,"GALAXY"
"11",0.2088,1.63304,1.64575,1.01831,0.60044,0.27233,0.91761,0.91758,0.77155,"GALAXY"
"12",-0.78915,-0.12874,-0.38113,-0.31769,-0.19052,-0.09587,1.11504,1.11505,1.27418,"STAR"
"13",-0.78938,-0.89092,-1.18613,-1.17535,-1.07734,-0.98543,-0.66727,-0.66728,-0.42392,"STAR"
"14",-0.78929,-2.29304,-2.53961,-2.58429,-2.51123,-2.35825,-0.9562,-0.95621,-1.03769,"STAR"
"15",-0.78828,-1.29726,-1.14668,-0.8915,-0.69646,-0.52047,-0.1707,-0.17072,0.01733,"STAR"
"16",0.55781,0.07171,0.56533,1.03109,1.32081,1.64162,0.9294,0.92943,0.93633,"QSO"
"17",0.30906,0.24887,1.14447,1.30779,1.20593,0.91135,1.7999,1.79994,1.41131,"GALAXY"
"18",-0.60946,-1.14853,-1.10136,-0.98618,-0.90386,-0.85399,-0.80243,-0.80243,-0.73191,"GALAXY"
"19",0.34533,1.76709,1.6646,1.37172,1.06924,0.66001,1.26065,1.2607,1.03033,"GALAXY"
